canonical_test_uid,test_no,test_date,source_system,v1_4_label,false_positive_family,false_positive_reason,positive_evidence_that_caused_error,negative_evidence_ignored_by_v1_4,corrected_label_or_status,corrective_rule_id,acceptance_status,adjudication_note
nhtsa_crash_test:9240,9240,2014-11-17,nhtsa_crash,NHTSA_RESEARCH_FRONTAL_OBLIQUE_RMDB_LEGACY_OR_MATRIX,sled_full_vehicle_false_positive,Sled-with-body metadata was outranked by full-vehicle oblique crash rules.,"{""angle_near"":15.0,""overlap_percent_range"":35.0,""required_barrier_type"":[""rmdb""],""speed_range_kmh"":88.15,""text_any"":[""RMDB""]}","{""sled_signal"":true,""test_configuration"":""SLED WITH VEHICLE BODY"",""title"":""SLED BUCK RESEARCH AND DEVELOPMENT OFFSET TEST"",""v1_4_label"":""NHTSA_RESEARCH_FRONTAL_OBLIQUE_RMDB_LEGACY_OR_MATRIX""}",OCCUPANT_PERFORMANCE_FRONTAL_OBLIQUE_SLED_RESEARCH,OCCUPANT_PERFORMANCE_FRONTAL_OBLIQUE_SLED_RESEARCH,accepted_repaired,Corrected by sled negative gate and OCCUPANT_PERFORMANCE_FRONTAL_OBLIQUE_SLED_RESEARCH.
nhtsa_crash_test:9241,9241,2014-11-17,nhtsa_crash,NHTSA_RESEARCH_FRONTAL_OBLIQUE_RMDB_LEGACY_OR_MATRIX,sled_full_vehicle_false_positive,Sled-with-body metadata was outranked by full-vehicle oblique crash rules.,"{""angle_near"":15.0,""overlap_percent_range"":35.0,""required_barrier_type"":[""rmdb""],""speed_range_kmh"":88.14,""text_any"":[""RMDB""]}","{""sled_signal"":true,""test_configuration"":""SLED WITH VEHICLE BODY"",""title"":""SLED BUCK RESEARCH AND DEVELOPMENT OFFSET TEST"",""v1_4_label"":""NHTSA_RESEARCH_FRONTAL_OBLIQUE_RMDB_LEGACY_OR_MATRIX""}",OCCUPANT_PERFORMANCE_FRONTAL_OBLIQUE_SLED_RESEARCH,OCCUPANT_PERFORMANCE_FRONTAL_OBLIQUE_SLED_RESEARCH,accepted_repaired,Corrected by sled negative gate and OCCUPANT_PERFORMANCE_FRONTAL_OBLIQUE_SLED_RESEARCH.
nhtsa_crash_test:9242,9242,2014-11-19,nhtsa_crash,NHTSA_RESEARCH_FRONTAL_OBLIQUE_RMDB_LEGACY_OR_MATRIX,sled_full_vehicle_false_positive,Sled-with-body metadata was outranked by full-vehicle oblique crash rules.,"{""angle_near"":15.0,""overlap_percent_range"":35.0,""required_barrier_type"":[""rmdb""],""speed_range_kmh"":87.84,""text_any"":[""RMDB""]}","{""sled_signal"":true,""test_configuration"":""SLED WITH VEHICLE BODY"",""title"":""SLED BUCK RESEARCH AND DEVELOPMENT OFFSET TEST"",""v1_4_label"":""NHTSA_RESEARCH_FRONTAL_OBLIQUE_RMDB_LEGACY_OR_MATRIX""}",OCCUPANT_PERFORMANCE_FRONTAL_OBLIQUE_SLED_RESEARCH,OCCUPANT_PERFORMANCE_FRONTAL_OBLIQUE_SLED_RESEARCH,accepted_repaired,Corrected by sled negative gate and OCCUPANT_PERFORMANCE_FRONTAL_OBLIQUE_SLED_RESEARCH.
nhtsa_crash_test:9243,9243,2014-11-10,nhtsa_crash,NHTSA_RESEARCH_FRONTAL_OBLIQUE_RMDB_LEGACY_OR_MATRIX,sled_full_vehicle_false_positive,Sled-with-body metadata was outranked by full-vehicle oblique crash rules.,"{""angle_near"":15.0,""overlap_percent_range"":35.0,""required_barrier_type"":[""rmdb""],""speed_range_kmh"":88.05,""text_any"":[""RMDB""]}","{""sled_signal"":true,""test_configuration"":""SLED WITH VEHICLE BODY"",""title"":""SLED BUCK RESEARCH AND DEVELOPMENT OFFSET TEST"",""v1_4_label"":""NHTSA_RESEARCH_FRONTAL_OBLIQUE_RMDB_LEGACY_OR_MATRIX""}",OCCUPANT_PERFORMANCE_FRONTAL_OBLIQUE_SLED_RESEARCH,OCCUPANT_PERFORMANCE_FRONTAL_OBLIQUE_SLED_RESEARCH,accepted_repaired,Corrected by sled negative gate and OCCUPANT_PERFORMANCE_FRONTAL_OBLIQUE_SLED_RESEARCH.
nhtsa_crash_test:9244,9244,2014-11-21,nhtsa_crash,NHTSA_RESEARCH_FRONTAL_OBLIQUE_RMDB_LEGACY_OR_MATRIX,sled_full_vehicle_false_positive,Sled-with-body metadata was outranked by full-vehicle oblique crash rules.,"{""angle_near"":15.0,""overlap_percent_range"":35.0,""required_barrier_type"":[""rmdb""],""speed_range_kmh"":87.97,""text_any"":[""RMDB""]}","{""sled_signal"":true,""test_configuration"":""SLED WITH VEHICLE BODY"",""title"":""SLED BUCK RESEARCH AND DEVELOPMENT OFFSET TEST"",""v1_4_label"":""NHTSA_RESEARCH_FRONTAL_OBLIQUE_RMDB_LEGACY_OR_MATRIX""}",OCCUPANT_PERFORMANCE_FRONTAL_OBLIQUE_SLED_RESEARCH,OCCUPANT_PERFORMANCE_FRONTAL_OBLIQUE_SLED_RESEARCH,accepted_repaired,Corrected by sled negative gate and OCCUPANT_PERFORMANCE_FRONTAL_OBLIQUE_SLED_RESEARCH.
nhtsa_crash_test:9245,9245,2014-12-13,nhtsa_crash,NHTSA_RESEARCH_FRONTAL_OBLIQUE_RMDB_LEGACY_OR_MATRIX,sled_full_vehicle_false_positive,Sled-with-body metadata was outranked by full-vehicle oblique crash rules.,"{""angle_near"":15.0,""overlap_percent_range"":35.0,""required_barrier_type"":[""rmdb""],""speed_range_kmh"":88.59,""text_any"":[""RMDB""]}","{""sled_signal"":true,""test_configuration"":""SLED WITH VEHICLE BODY"",""title"":""SLED BUCK RESEARCH AND DEVELOPMENT OFFSET TEST"",""v1_4_label"":""NHTSA_RESEARCH_FRONTAL_OBLIQUE_RMDB_LEGACY_OR_MATRIX""}",OCCUPANT_PERFORMANCE_FRONTAL_OBLIQUE_SLED_RESEARCH,OCCUPANT_PERFORMANCE_FRONTAL_OBLIQUE_SLED_RESEARCH,accepted_repaired,Corrected by sled negative gate and OCCUPANT_PERFORMANCE_FRONTAL_OBLIQUE_SLED_RESEARCH.
nhtsa_crash_test:9246,9246,2014-12-13,nhtsa_crash,NHTSA_RESEARCH_FRONTAL_OBLIQUE_RMDB_LEGACY_OR_MATRIX,sled_full_vehicle_false_positive,Sled-with-body metadata was outranked by full-vehicle oblique crash rules.,"{""angle_near"":15.0,""overlap_percent_range"":35.0,""required_barrier_type"":[""rmdb""],""speed_range_kmh"":88.67,""text_any"":[""RMDB""]}","{""sled_signal"":true,""test_configuration"":""SLED WITH VEHICLE BODY"",""title"":""SLED BUCK RESEARCH AND DEVELOPMENT OFFSET TEST"",""v1_4_label"":""NHTSA_RESEARCH_FRONTAL_OBLIQUE_RMDB_LEGACY_OR_MATRIX""}",OCCUPANT_PERFORMANCE_FRONTAL_OBLIQUE_SLED_RESEARCH,OCCUPANT_PERFORMANCE_FRONTAL_OBLIQUE_SLED_RESEARCH,accepted_repaired,Corrected by sled negative gate and OCCUPANT_PERFORMANCE_FRONTAL_OBLIQUE_SLED_RESEARCH.
nhtsa_crash_test:9247,9247,2014-12-13,nhtsa_crash,NHTSA_RESEARCH_FRONTAL_OBLIQUE_RMDB_LEGACY_OR_MATRIX,sled_full_vehicle_false_positive,Sled-with-body metadata was outranked by full-vehicle oblique crash rules.,"{""angle_near"":15.0,""overlap_percent_range"":35.0,""required_barrier_type"":[""rmdb""],""speed_range_kmh"":88.81,""text_any"":[""RMDB""]}","{""sled_signal"":true,""test_configuration"":""SLED WITH VEHICLE BODY"",""title"":""SLED BUCK RESEARCH AND DEVELOPMENT OFFSET TEST"",""v1_4_label"":""NHTSA_RESEARCH_FRONTAL_OBLIQUE_RMDB_LEGACY_OR_MATRIX""}",OCCUPANT_PERFORMANCE_FRONTAL_OBLIQUE_SLED_RESEARCH,OCCUPANT_PERFORMANCE_FRONTAL_OBLIQUE_SLED_RESEARCH,accepted_repaired,Corrected by sled negative gate and OCCUPANT_PERFORMANCE_FRONTAL_OBLIQUE_SLED_RESEARCH.
nhtsa_crash_test:10841,10841,2019-09-11,nhtsa_crash,US_NCAP_SIDE_POLE_20MPH_75DEG_25CM,side_pole_over_confirmed,Weak pole text and inferred barrier evidence over-confirmed NCAP side pole.,"{""angle_near"":75.0,""direction"":[""side""],""required_barrier_type"":[""rigid_pole""],""speed_near"":32.01,""text_any"":[""RIGID POLE""]}","{""missing_core_ncap_program"":true,""test_configuration"":""VEHICLE INTO POLE"",""test_type"":""RESEARCH"",""title"":""2018 HONDA ACCORD LEFT SIDE FMVSS POLE IMPACT AT 32 KPH"",""v1_4_label"":""US_NCAP_SIDE_POLE_20MPH_75DEG_25CM""}",NHTSA_RESEARCH_SIDE_POLE_FMVSS_POLE_IMPACT_32KPH,NHTSA_RESEARCH_SIDE_POLE_FMVSS_POLE_IMPACT_32KPH,accepted_repaired,Corrected by side-pole NCAP negative gate and NHTSA_RESEARCH_SIDE_POLE_FMVSS_POLE_IMPACT_32KPH.
nhtsa_crash_test:10842,10842,2019-07-29,nhtsa_crash,US_NCAP_SIDE_POLE_20MPH_75DEG_25CM,side_pole_over_confirmed,Weak pole text and inferred barrier evidence over-confirmed NCAP side pole.,"{""angle_near"":75.0,""direction"":[""side""],""required_barrier_type"":[""rigid_pole""],""speed_near"":31.98,""text_any"":[""RIGID POLE""]}","{""missing_core_ncap_program"":true,""test_configuration"":""VEHICLE INTO POLE"",""test_type"":""RESEARCH"",""title"":""2018 HONDA ACCORD LEFT SIDE FMVSS POLE IMPACT AT 32 KPH"",""v1_4_label"":""US_NCAP_SIDE_POLE_20MPH_75DEG_25CM""}",NHTSA_RESEARCH_SIDE_POLE_FMVSS_POLE_IMPACT_32KPH,NHTSA_RESEARCH_SIDE_POLE_FMVSS_POLE_IMPACT_32KPH,accepted_repaired,Corrected by side-pole NCAP negative gate and NHTSA_RESEARCH_SIDE_POLE_FMVSS_POLE_IMPACT_32KPH.
nhtsa_crash_test:10845,10845,2019-10-31,nhtsa_crash,US_NCAP_SIDE_POLE_20MPH_75DEG_25CM,side_pole_over_confirmed,Weak pole text and inferred barrier evidence over-confirmed NCAP side pole.,"{""angle_near"":75.0,""direction"":[""side""],""required_barrier_type"":[""rigid_pole""],""speed_near"":31.9,""text_any"":[""RIGID POLE""]}","{""missing_core_ncap_program"":true,""test_configuration"":""VEHICLE INTO POLE"",""test_type"":""RESEARCH"",""title"":""2018 HONDA ACCORD LEFT SIDE FMVSS POLE IMPACT AT 32 KPH"",""v1_4_label"":""US_NCAP_SIDE_POLE_20MPH_75DEG_25CM""}",NHTSA_RESEARCH_SIDE_POLE_FMVSS_POLE_IMPACT_32KPH,NHTSA_RESEARCH_SIDE_POLE_FMVSS_POLE_IMPACT_32KPH,accepted_repaired,Corrected by side-pole NCAP negative gate and NHTSA_RESEARCH_SIDE_POLE_FMVSS_POLE_IMPACT_32KPH.
nhtsa_crash_test:11600,11600,2020-09-25,nhtsa_crash,US_NCAP_SIDE_POLE_20MPH_75DEG_25CM,side_pole_over_confirmed,Weak pole text and inferred barrier evidence over-confirmed NCAP side pole.,"{""angle_near"":75.0,""direction"":[""side""],""required_barrier_type"":[""rigid_pole""],""speed_near"":32.81,""text_any"":[""RIGID POLE""]}","{""missing_core_ncap_program"":true,""test_configuration"":""VEHICLE INTO POLE"",""test_type"":""RESEARCH"",""title"":""2019 CHEVROLET MALIBU LEFT SIDE FMVSS POLE IMPACT AT 32 KPH"",""v1_4_label"":""US_NCAP_SIDE_POLE_20MPH_75DEG_25CM""}",NHTSA_RESEARCH_SIDE_POLE_FMVSS_POLE_IMPACT_32KPH,NHTSA_RESEARCH_SIDE_POLE_FMVSS_POLE_IMPACT_32KPH,accepted_repaired,Corrected by side-pole NCAP negative gate and NHTSA_RESEARCH_SIDE_POLE_FMVSS_POLE_IMPACT_32KPH.
nhtsa_crash_test:11604,11604,2021-01-14,nhtsa_crash,US_NCAP_SIDE_POLE_20MPH_75DEG_25CM,side_pole_over_confirmed,Weak pole text and inferred barrier evidence over-confirmed NCAP side pole.,"{""angle_near"":75.0,""direction"":[""side""],""required_barrier_type"":[""rigid_pole""],""speed_near"":31.26,""text_any"":[""RIGID POLE""]}","{""missing_core_ncap_program"":true,""test_configuration"":""VEHICLE INTO POLE"",""test_type"":""RESEARCH"",""title"":""2020 HYUNDAI HYUNDAI VELOSTER LEFT SIDE FMVSS POLE IMPACT AT 32 KPH"",""v1_4_label"":""US_NCAP_SIDE_POLE_20MPH_75DEG_25CM""}",NHTSA_RESEARCH_SIDE_POLE_FMVSS_POLE_IMPACT_32KPH,NHTSA_RESEARCH_SIDE_POLE_FMVSS_POLE_IMPACT_32KPH,accepted_repaired,Corrected by side-pole NCAP negative gate and NHTSA_RESEARCH_SIDE_POLE_FMVSS_POLE_IMPACT_32KPH.
nhtsa_crash_test:14354,14354,2022-06-08,nhtsa_crash,US_NCAP_SIDE_POLE_20MPH_75DEG_25CM,side_pole_over_confirmed,Weak pole text and inferred barrier evidence over-confirmed NCAP side pole.,"{""angle_near"":75.0,""direction"":[""side""],""required_barrier_type"":[""rigid_pole""],""speed_near"":31.7,""text_any"":[""RIGID POLE""]}","{""missing_core_ncap_program"":true,""test_configuration"":""VEHICLE INTO POLE"",""test_type"":""RESEARCH"",""title"":""2020 TOYOTA TACOMA LEFT SIDE FMVSS POLE IMPACT AT 32 KPH"",""v1_4_label"":""US_NCAP_SIDE_POLE_20MPH_75DEG_25CM""}",NHTSA_RESEARCH_SIDE_POLE_FMVSS_POLE_IMPACT_32KPH,NHTSA_RESEARCH_SIDE_POLE_FMVSS_POLE_IMPACT_32KPH,accepted_repaired,Corrected by side-pole NCAP negative gate and NHTSA_RESEARCH_SIDE_POLE_FMVSS_POLE_IMPACT_32KPH.
nhtsa_crash_test:14355,14355,2022-06-15,nhtsa_crash,US_NCAP_SIDE_POLE_20MPH_75DEG_25CM,side_pole_over_confirmed,Weak pole text and inferred barrier evidence over-confirmed NCAP side pole.,"{""angle_near"":75.0,""direction"":[""side""],""required_barrier_type"":[""rigid_pole""],""speed_near"":32.09,""text_any"":[""RIGID POLE""]}","{""missing_core_ncap_program"":true,""test_configuration"":""VEHICLE INTO POLE"",""test_type"":""RESEARCH"",""title"":""2020 KIA SOUL LEFT SIDE FMVSS POLE IMPACT AT 32 KPH"",""v1_4_label"":""US_NCAP_SIDE_POLE_20MPH_75DEG_25CM""}",NHTSA_RESEARCH_SIDE_POLE_FMVSS_POLE_IMPACT_32KPH,NHTSA_RESEARCH_SIDE_POLE_FMVSS_POLE_IMPACT_32KPH,accepted_repaired,Corrected by side-pole NCAP negative gate and NHTSA_RESEARCH_SIDE_POLE_FMVSS_POLE_IMPACT_32KPH.
nhtsa_crash_test:14604,14604,2023-08-09,nhtsa_crash,US_NCAP_SIDE_POLE_20MPH_75DEG_25CM,side_pole_over_confirmed,Weak pole text and inferred barrier evidence over-confirmed NCAP side pole.,"{""angle_near"":75.0,""direction"":[""side""],""required_barrier_type"":[""rigid_pole""],""speed_near"":31.94,""text_any"":[""RIGID POLE""]}","{""missing_core_ncap_program"":true,""test_configuration"":""VEHICLE INTO POLE"",""test_type"":""RESEARCH"",""title"":""2021 VOLKSWAGEN ID.4 LEFT SIDE FMVSS POLE IMPACT AT 32 KPH"",""v1_4_label"":""US_NCAP_SIDE_POLE_20MPH_75DEG_25CM""}",NHTSA_RESEARCH_SIDE_POLE_FMVSS_POLE_IMPACT_32KPH,NHTSA_RESEARCH_SIDE_POLE_FMVSS_POLE_IMPACT_32KPH,accepted_repaired,Corrected by side-pole NCAP negative gate and NHTSA_RESEARCH_SIDE_POLE_FMVSS_POLE_IMPACT_32KPH.
